c_zizhou_xichuan,资州
c_zizhou_dongchuan,梓州
c_ziwudao,子午道
c_zigui,归州
c_zibo,淄州
c_zhongzhou_ba,忠州
c_zhengzhou,郑州
c_zhaozhou,赵州
c_zhaosu,昭苏
c_zhangzhou_min,漳州
c_zezhou,泽州
c_yuzhou_dai,蔚州
c_yuzhou_ba,渝州
c_yunzhou_liang,郓州
c_yunzhou,云州
c_yulinzhou,郁林州
c_yuezhou_yue,越州
c_yuezhou_chu,岳州
c_yuanzou_xia,原州
c_yuanzhou_jiangxi,袁州
c_youzhou_shuofang,宥州
c_youzhou,幽州
c_yongzhou_hunan,永州
c_yizhou_yan,易州
c_yizhou_taining,沂州
c_yizhou_hedong,仪州
c_yinzhou,银州
c_yinping,阴平
c_yingzhou_song,颍州
c_yingzhou_liaoxi,营州
c_yingzhou_jin,应州
c_yingzhou_ji,瀛州
c_yingzhou_chu,郢州
c_yikun,仪坤
c_yichuan,伊川
c_yelang,夜郎
c_yazhou,雅州
c_yaohan,崤函
c_yanzhou_xia,延州
c_yanzhou_shuofang,盐州
c_yanzhou,兖州
c_yanjim,阳苴咩
c_yangzhou_hanzhong,洋州
c_yangzhou,扬州
c_yalu,鸭绿
c_xuzhou_xu,徐州
c_xuuzhou,许州
c_xunzhou,循州
c_xuanzhou,宣州
c_xuandezhou,宣德州
c_xizhou_qian,溪州
c_xizhou_hezhong,隰州
c_xizhou_dongchuan,淅州
c_xiongshanzhou,熊川
c_xinzhou_wu,信州
c_xinzhou_dai,忻州
c_xinhui,新州
c_xingzhou_hanzhong,兴州
c_xingzhou,邢州
c_xiazhou_chu,峡州
c_xiazhou,夏州
c_xianzhou_sumo,显州
c_xianyang,咸阳
c_xiangzhou,相州
c_xianglin,象林
c_xiangfan,襄阳
c_xiangchangjun,香城
c_wuzhou_yue,婺州
c_wusa,乌撒
c_wumeng,乌蒙
c_wulv,医巫闾山
c_wugong,武功
c_wudu,武都
c_wuan,武安州
c_westsurrended,西受降城
c_wenzhou_yue,温州
c_weizhou_longxi,渭州
c_weizhou_ji,卫州
c_weizhou,魏州
c_wanzhou,万州
c_wanshanzhou,完山
c_waa,望部
c_viengchan,文单
c_uttaradit,程逸
c_uroghu,乌罗护
c_urd,越里笃
c_ulch,越里吉
c_udgur,羽厥
c_udger,兀惹
c_tuonan,拓南
c_tongzhou_pingyi,同州
c_tongzhou_bohai,铜州
c_tongguan,潼关
c_tingzhou_min,汀州
c_tianshui,天水
c_tiandejun,天德军
c_teriqan,寘颜
c_temo,特磨
c_teli,铁骊
c_tarqan,达尔罕
c_taqu,他曲
c_tangzhou_chu,唐州
c_tangmo,棠魔
c_tangmen,汤州
c_tanglinzhou,唐林州
c_taizhou,台州
c_taiyuan,太原
c_taishan,泰山
c_suzhou_xu,宿州
c_suzhou_wu,苏州
c_sumozhou,涑州
c_suizhou_xia,绥州
c_suizhou_dongchuan,遂州
c_suizhou,隋州
c_songzhou_song,宋州
c_songshan,嵩山
c_sizhou_xu,泗州
c_sizhou_qian,思州
c_siezhou,思峨州
c_shuzhou_huai,舒州
c_shuozhou,朔州
c_shukunzhou,述昆州
c_shuaibin,率宾
c_shouruozhou,首若
c_shouchun,寿春
c_shizhou,石州
c_shicheng,石城
c_shezhou,歙州
c_shenzhou_hebei,深州
c_shenzhou,申州
c_shengzhou,胜州
c_shaozhou_hunan,邵州
c_shaoguan_guang,韶关
c_shangzhou_qin,商州
c_shangfazhou,沙伐
c_shanchan,鄯阐
c_shaliangzhou,沙良
c_shaanzhou,陕州
c_sadenor,撒得袅
c_ryukyu,三山
c_ruzhou,汝州
c_runzhou,润州
c_ruanhua,软化
c_rongzhou_xichuan,戎州
c_rongzhou_gui,容州
c_rongyi,溱州
c_rongshui,融州
c_riluo,棠州
c_raozhou,饶州
c_quzhou_ba,渠州
c_quzhou,衢州
c_quanzhou,泉州
c_qizhou_qi,齐州
c_qixian,祁鲜
c_qiuchi,仇池
c_qiongzhou,邛州
c_qiongya,琼州
c_qinzhou_hedong,沁州
c_qinzhou_gui,钦州
c_qingzhou_qi,青州
c_qingzhou,庆州
c_qingchengshan,青城
c_qichun,蕲州
c_qibingga,燕子城
c_qianzhou_jiangxi,虔州
c_qianzhong,黔州
c_qianxi,羲州
c_pyongyang,平壤
c_puzhou_liang,濮州
c_puzhou_dongchuan,普州
c_puzhou,蒲州
c_puyu,蒲与
c_puer,步日
c_pozhuo,泊汋
c_powo,婆莴
c_poar,剖阿里
c_pingzhou,平州
c_pingyi,夷州
c_penur,盆奴里
c_pengzhou,彭州
c_pengluzhou,蓬鲁州
c_penglai,登州
c_penghu,澎湖
c_panjiang,琰川
c_orim,奥里米
c_ordos,鄂尔多斯
c_onon,斡难
c_ondur,完都鲁
c_nyongbyon,宁边
c_nongdong,弄栋
c_nivkh,奴儿干
c_ningzhou_qin,宁州
c_ningzhou_khitan,宁州
c_nem,讷河
c_nanzheng,南郑
c_nanning,邕州
c_nanhai_okjeo,南沃沮
c_nanhai,南海
c_muzhou_yue,睦州
c_muze,目则
c_murin,木邻
c_mudan,穆丹
c_muangthaeng,勐唐
c_muangswa,勐老
c_mozhou,莫州
c_mogols,谟葛失
c_mizhou_qi,密州
c_minzhou,岷州
c_mingzhou_hebei,铭州
c_mingzhou,明州
c_mile,弥勒
c_midsurrended,中受降城
c_mianzhou,绵州
c_mengzhou,孟州
c_meizhou_xichuan,眉州
c_manglai,莽来
c_luzhou_jin,潞州
c_luzhou_huai,庐州
c_luzhou_dongchuan,泸州
c_luzhou_annan,陆州
c_luyang,锦州
c_luqu_valley,塔懒
c_luoyang,洛阳
c_luolong,罗龙
c_luodian,罗殿
c_luanzhou,鸾州
c_luanshan,銮山
c_lotan,落坦
c_longzhou_shu,龙州
c_longzhou,陇州
c_longyuan,龙原
c_longhua,龙化
c_lizhou_shu,黎州
c_lizhou_hanzhong,利州
c_lizhou_chu,醴州
c_liuzhou,柳州
c_liuqiu,琉虬
c_lishui,丽水
c_linzhou_shaan,麟州
c_lingzhou_xichuan,陵州
c_ligao,珍州
c_liaoxi,辽西
c_liaodong,辽东
c_lianzhou_gui,廉州
c_lianzhou,连州
c_lashu,腊戍
c_laos,僚子
c_lanzhou_longxi,兰州
c_lanzhou_hedong,岚州
c_lanna,兰纳
c_langzhou_chu,朗州
c_langzhou_ba,阆中
c_langxi,朗溪
c_lamphun,南奔
c_laizhou,莱州
c_kuvieh,骨嵬
c_kuozhou_yue,括州
c_kuizhou,夔州
c_kongmeng,曲阜
c_kirluk,鸡鹿
c_khiyat,乞颜
c_khatan,可敦城
c_karat,哈老徒
c_kainan,开南
c_juzhou,矩州
c_junzhou,均州
c_julop,烛龙
c_juliezhou,居烈
c_jizhou_zhao,冀州
c_jizhou_yan,蓟州
c_jizhou_liang,济州
c_jizhou_jiangxi,吉州
c_jinzhou_hezhong,晋州
c_jinzhou_hanzhong,金州
c_jinlongzhou,金龙州
c_jinling,金陵
c_jingzhou_xia,泾州
c_jingzhou_chu,荆州
c_jinglong,芒乃
c_jingbianjun,靖边军
c_jilizhou,积利州
c_jiazhou_xichuan,嘉州
c_jiaozhi,交趾
c_jianzhou_shu2,简州
c_jianzhou_shu,剑州
c_jianzhou_min,建州
c_jianzhou_bohai,建州
c_jianshui,建水
c_jiangzhou_wu,江州
c_jiangzhou,绛州
c_jianchuan,剑川
c_jianchang,建昌
c_hwanghae,黄海
c_hwando,桓都
c_huzhou_wu,湖州
c_huizhou,会州
c_huichuan,会川
c_huhan,忽汗
c_huazhou_pingyi,冯翊
c_huazhou_liang,滑州
c_huanzhou_viet,驩州
c_huangzhou,黄州
c_huanglong,黄龙
c_huaizhou_zhou,怀州
c_huaiyin,楚州
c_horhnajubur,豁儿豁
c_hongzhou,洪州
c_holonnor,俱伦
c_hiyaxu,金莲川
c_hezhou_huai,和州
c_hezhou_ba,合州
c_hezhou,河州
c_hexizhou,何瑟罗
c_hequ,河曲
c_hengzhou,恒州
c_hengshan,衡州
c_heman,和蛮
c_helan,曷懒
c_haozhou_huainan,濠州
c_hanzhou_shu,汉州
c_hanju,汉州
c_hangzhou,杭州
c_haka,梅州
c_haizhou_xu,海州
c_hailar,海剌儿
c_guzhu,檀州
c_guozhou_zhou,虢州
c_guozhou_ba,果州
c_guizhou_yan,妫州
c_guilin,桂林
c_guangzhou_huainan,光州
c_guangde,广德
c_guangdang,广荡
c_gen,犍河
c_gayaa,迦倻
c_gaozhou,高州
c_gaolan,皋兰州
c_gantang,"甘棠,,,"
c_fuzou,福州
c_fuzhou_qin,鄜州
c_fuzhou_jiangxi,抚州
c_fuzhou_chu,复州
c_fuzhou_ba,涪州
c_fuyu,扶余
c_fushuizhou,抚水州
c_fenzhou,汾州
c_fengzhou_hanzhong,凤州
c_fengxiang,凤翔
c_fangzhou_chu,房州
c_fangzhou,坊州
c_faluozhou,发罗
c_ezhou,鄂州
c_enshi,施州
c_dushang,都尚
c_duanzhou,端州
c_dongping_yulou,湄沱
c_dizhou,棣州
c_dingzhou,定州
c_dingli,定理
c_dezhou_wei,德州
c_dengzhou,邓州
c_degere,迭剌
c_dayan,大盐泺
c_dargu,达姤
c_daozhou,道州
c_danzhou,丹州
c_danluo,耽罗
c_dalseong,达伐
c_daizhou,代州
c_dading,大定
c_cizhou_hezhong,慈州
c_cizhou,磁州
c_chuzhou_huai,滁州
c_chizhou,池州
c_chiya,赤雅
c_chenzhou_hunan,郴州
c_chenzhou,陈州
c_chenxi,辰州
c_chengtianjun,承天军
c_chengjie,成偈
c_chengdu,成都
c_chaozhou,潮州
c_chanzhou,澶州
c_chanyufu,单于府
c_changzhou,常州
c_changwu,苍梧
c_changsha,长沙
c_changling,回跋
c_changchun,长春州
c_changan,京兆
c_caozhou,曹州
c_cangzhou,沧州
c_caizhou,蔡州
c_buyur,捕鱼儿海
c_bozhou_zunyi,播州
c_bozhou_wei,博州
c_bozhou_song,亳州
c_binzhou_qin,邠州
c_binzhou_gui,宾州
c_bianzhou,开封
c_beizhou,贝州
c_beian,北安
c_bazhou_ba,巴州
c_bayanterm,巴彦图门
c_baishan,白山
c_baise,田州
c_argun,望建
c_anzhou,安州
c_anyuan,安远
c_anshi,安市
c_anle,安乐州
c_anju,安州
c_anbian,虞娄
c_aizhou,爱州
c_achu,按出虎
